comuna_cut,region_cut,comuna,fcm_dependency_pct_2025,fet_royalty_mineria_mclp_2025,ipp_percapita_mclp_2025,poverty_casen_pct_2025,presup_percapita_mclp_2025,professionalization_pct_2025,staff_contrata_directivo_2025,staff_contrata_profesional_2025,staff_directivo_total_2025,staff_planta_directivo_2025,staff_planta_profesional_2025,staff_profesional_total_2025,staff_total_2025,fcm_dependency_pct_2024,fet_royalty_mineria_mclp_2024,ipp_percapita_mclp_2024,poverty_casen_pct_2024,presup_percapita_mclp_2024,professionalization_pct_2024,staff_contrata_directivo_2024,staff_contrata_profesional_2024,staff_directivo_total_2024,staff_planta_directivo_2024,staff_planta_profesional_2024,staff_profesional_total_2024,staff_total_2024
13130,13,San Miguel,17.19,0.0,128.2,2.2,332.16,,,,,,,,,18.22,0.0,119.11,2.17,322.48,33.1,0.0,48.0,21.0,21.0,48.0,96.0,429.0
13131,13,San Ramón,76.9,1198509.0,53.24,6.9,295.27,34.43,0.0,16.0,19.0,19.0,30.0,46.0,273.0,77.15,514119.0,49.07,6.88,271.33,24.63,0.0,12.0,11.0,11.0,39.0,51.0,268.0
13132,13,Vitacura,2.74,0.0,928.52,0.9,1477.48,41.31,0.0,71.0,43.0,43.0,150.0,221.0,656.0,2.82,0.0,891.45,0.89,1454.68,40.45,0.0,63.0,43.0,43.0,155.0,218.0,660.0
13201,13,Puente Alto,73.98,7475869.0,49.03,5.0,214.49,53.16,0.0,92.0,18.0,18.0,177.0,269.0,1061.0,74.13,3220546.0,46.23,5.04,205.14,41.17,0.0,82.0,21.0,21.0,188.0,270.0,906.0
13202,13,Pirque,23.86,312413.0,256.8,2.7,457.81,29.33,1.0,19.0,10.0,9.0,6.0,25.0,150.0,25.31,133739.0,220.26,2.74,406.69,32.82,1.0,19.0,11.0,10.0,6.0,25.0,131.0
13203,13,San José De Maipo,41.75,311580.0,198.36,4.7,475.26,29.66,0.0,8.0,12.0,12.0,10.0,18.0,118.0,36.3,133476.0,201.31,4.69,446.92,29.13,14.0,44.0,26.0,12.0,10.0,54.0,127.0
13301,13,Colina,11.89,0.0,259.79,5.1,486.07,31.32,0.0,19.0,16.0,16.0,35.0,54.0,265.0,12.13,0.0,247.35,5.11,460.93,29.18,0.0,15.0,16.0,16.0,35.0,50.0,257.0
13302,13,Lampa,17.05,0.0,206.08,4.9,425.61,35.85,0.0,10.0,14.0,14.0,30.0,40.0,159.0,17.52,0.0,198.47,4.95,398.38,,,,,,,,
13303,13,Tiltil,48.13,336643.0,141.54,6.1,537.64,28.45,0.0,3.0,11.0,11.0,6.0,9.0,116.0,47.46,143976.0,131.19,6.06,483.96,18.08,0.0,4.0,13.0,13.0,7.0,11.0,177.0
13401,13,San Bernardo,35.64,0.0,132.5,6.0,382.42,,,,,,,,,36.26,0.0,129.2,5.99,374.88,25.87,0.0,70.0,15.0,15.0,71.0,141.0,634.0
13402,13,Buin,31.39,569022.0,121.32,4.4,392.9,30.62,0.0,17.0,12.0,12.0,24.0,41.0,258.0,31.29,244090.0,115.43,4.45,374.83,31.3,0.0,13.0,12.0,12.0,24.0,37.0,246.0
13403,13,Calera De Tango,30.42,316153.0,202.42,3.5,565.2,33.08,0.0,19.0,15.0,15.0,6.0,25.0,133.0,30.76,135622.0,182.03,3.48,533.16,35.34,0.0,19.0,15.0,15.0,8.0,27.0,133.0
13404,13,Paine,30.75,506438.0,151.17,5.9,324.84,23.7,0.0,19.0,9.0,9.0,21.0,40.0,270.0,33.89,217334.0,125.27,5.87,282.76,25.64,0.0,0.0,13.0,13.0,25.0,25.0,273.0
13501,13,Melipilla,70.63,1728421.0,67.06,7.6,486.12,29.55,0.0,24.0,17.0,17.0,38.0,62.0,335.0,68.23,684686.0,63.37,7.57,430.82,32.71,0.0,28.0,15.0,15.0,37.0,65.0,373.0
13502,13,Alhué,17.83,310204.0,1490.51,9.6,4350.45,31.25,0.0,9.0,7.0,7.0,2.0,11.0,64.0,17.45,132925.0,1350.89,9.61,3806.79,,,,,,,,
13503,13,Curacaví,40.0,392835.0,160.24,6.0,352.1,63.69,0.0,7.0,13.0,13.0,8.0,15.0,157.0,40.68,169458.0,147.76,6.0,338.65,58.91,0.0,7.0,15.0,15.0,11.0,18.0,129.0
13504,13,María Pinto,51.49,329187.0,172.46,7.3,801.85,67.35,0.0,7.0,13.0,13.0,5.0,12.0,49.0,46.5,141768.0,191.14,7.31,791.73,36.78,0.0,5.0,13.0,13.0,5.0,10.0,87.0
