concurso,programa,region,provincia,area_comuna,codigo_pm,instrument_type,amount_clp,amount_currency,status,status_as_of,gpc_sector,climate_relevance,source_url
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412838,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412640,grant (incentivo),1920070,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412604,grant (incentivo),773224,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Arauco,412841,grant (incentivo),182160,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412258,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412529,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411751,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411754,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412813,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412590,grant (incentivo),665076,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411532,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412525,grant (incentivo),376970,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412992,grant (incentivo),554247,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412631,grant (incentivo),1045940,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412952,grant (incentivo),262486,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412637,grant (incentivo),1243117,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412501,grant (incentivo),375933,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412776,grant (incentivo),498724,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412497,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412535,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412805,grant (incentivo),1803550,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412788,grant (incentivo),1324040,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412721,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412383,grant (incentivo),2274930,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412782,grant (incentivo),769391,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412934,grant (incentivo),552761,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412963,grant (incentivo),1464827,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412499,grant (incentivo),375933,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412893,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412965,grant (incentivo),228363,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412657,grant (incentivo),963997,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412544,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
