comuna_cut,municipio,ipp_percibido_mclp,fcm_percibido_mclp,ip_percibido_mclp,ingresos_totales_percibido_mclp,ipp_devengado_mclp,fcm_devengado_mclp,ip_devengado_mclp,ingresos_totales_devengado_mclp,fcm_dependency,fcm_share_total_income,autonomy,fcm_contribution_ratio,operational_autonomy,source_vintage
07403,Longaví,2303511,9842927,12146438,15354172,2303511,9842927,12146438,15354172,0.810355,0.641059,0.189645,0.08935380705353194,1.4363563132596,2026-06-14
07404,Parral,4143515,11495136,15638651,21111996,4532152,11495136,16027288,23208027,0.735047,0.544484,0.264953,0.11835579848729062,1.26406809291282,2026-06-14
07405,Retiro,1768434,6609521,8377955,10211189,1776432,6609521,8385953,10351689,0.788918,0.647282,0.211082,0.08152043090565866,1.38929553482859,2026-06-14
07406,San Javier,3750766,12033832,15784598,19688495,4253206,12033832,16287038,21693435,0.762378,0.611211,0.237622,0.11160493182886383,1.19733065456173,2026-06-14
07407,Villa Alegre,1351946,5657780,7009726,9651930,1372407,5657780,7030187,9997993,0.807133,0.586181,0.192867,0.08683706330044647,1.27981290996466,2026-06-14
07408,Yerbas Buenas,2966329,4999983,7966312,11664533,3023198,4999983,8023181,11771721,0.627641,0.428648,0.372359,0.49913169704776994,1.1332654292185,2026-06-14
08101,Concepción,42892415,10908958,53801373,70452655,47567445,10908958,58476403,80988419,0.202764,0.154841,0.797236,0.6093929411039991,1.01816463438244,2026-06-14
08102,Coronel,16761254,18566344,35327598,48494767,19151950,18566344,37718294,52067477,0.525548,0.382853,0.474452,0.3675689193305909,1.25977589085013,2026-06-14
08103,Chiguayante,8411809,13429397,21841206,27176963,9418091,13429397,22847488,32115635,0.614865,0.494146,0.385135,0.2838283059172352,1.01101805331354,2026-06-14
08104,Florida,802276,4889957,5692233,6462218,887316,4889957,5777273,6757525,0.859058,0.756699,0.140942,0.07353213944417099,1.05055351125571,2026-06-14
08105,Hualqui,1591598,7443493,9035091,10105701,1787001,7443493,9230494,11703283,0.823843,0.736564,0.176157,0.06492234223905363,1.08703821944572,2026-06-14
08106,Lota,2203233,7191842,9395075,18803816,2265334,9706670,11972004,21911926,0.765491,0.382467,0.234509,0.09855972920428452,1.14573540442917,2026-06-14
08107,Penco,4518659,9124355,13643014,16498841,4518659,9124355,13643014,16764982,0.668793,0.55303,0.331207,0.13843696348947404,1.17359229928801,2026-06-14
08108,San Pedro de la Paz,19310097,11903690,31213787,38053340,21689666,11903690,33593356,43400149,0.38136,0.312816,0.61864,0.38967143801627896,1.1195878967325,2026-06-14
08109,Santa Juana,1500056,5959602,7459658,8913101,1553299,5959602,7512901,9223689,0.798911,0.668634,0.201089,0.13745229966699118,1.03752320451925,2026-06-14
08110,Talcahuano,27104411,11191287,38295698,48868018,29572333,11191287,40763620,53341823,0.292234,0.22901,0.707766,0.4425246175886652,1.13335982279956,2026-06-14
08111,Tomé,4417879,18190504,22608383,26917702,4793984,18190504,22984488,27618826,0.804591,0.675782,0.195409,0.06736157502837745,1.33218432810211,2026-06-14
08112,Hualpén,11182200,10944689,22126889,29679123,12139354,10944689,23084043,33181989,0.494633,0.368767,0.505367,0.3915619712903674,0.974094468839606,2026-06-14
08201,Lebu,1138509,7824642,8963151,11175262,1157664,7824642,8982306,11597895,0.872979,0.700175,0.127021,0.06491415198292778,1.17723350452819,2026-06-14
08202,Arauco,5065834,10054413,15120247,17526399,5144650,10054413,15199063,18634279,0.664964,0.573672,0.335036,0.10676476090647957,1.20194968634952,2026-06-14
08203,Cañete,1688409,10799347,12487756,14479759,3825917,10802379,14628296,16942538,0.864795,0.745824,0.135205,0.07058565670683607,1.0453475224788,2026-06-14
08204,Contulmo,418493,4996740,5415233,6345600,434921,4996740,5431661,6391026,0.922719,0.787434,0.077281,0.03656964340750169,1.25841094749503,2026-06-14
08205,Curanilahue,2226366,8202010,10428376,18128126,2236619,8202010,10438629,18969676,0.786509,0.452447,0.213491,0.07983494289814326,1.21120235839124,2026-06-14
08206,Los Álamos,1259621,6379715,7639336,12519814,1285373,6379715,7665088,12658147,0.835114,0.509569,0.164886,0.0641867230746201,1.15945025746131,2026-06-14
08207,Tirúa,569012,5312540,5881552,6424013,580885,5312540,5893425,6473946,0.903255,0.826982,0.096745,0.03980355912614305,1.17191875166999,2026-06-14
08301,Los Ángeles,24270487,31282076,55552563,64766719,26030371,31282076,57312447,71668247,0.563108,0.482996,0.436892,0.1805707204342832,1.21200407266941,2026-06-14
08302,Antuco,498490,4873897,5372387,6509459,505087,4873897,5378984,6522271,0.907213,0.748741,0.092787,0.08590087152026397,1.65419347250302,2026-06-14
08303,Cabrero,3146480,10506898,13653378,15616432,3146480,10506898,13653378,15667335,0.769546,0.67281,0.230454,0.08445851477762514,1.05996570753023,2026-06-14
08304,Laja,2731340,6972971,9704311,11339170,2797508,6972971,9770479,11657283,0.718544,0.614945,0.281456,0.08306244210681502,1.24518455959039,2026-06-14
08305,Mulchén,2985338,5858049,8843387,11299904,3132920,5858049,8990969,11914175,0.662421,0.518416,0.337579,0.16194333642480627,0.943284350399601,2026-06-14
